Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
738079,IT145632,Professional Services,162662 CAD,1/18/2018
382272,RO254678,IT Support,142684 CAD,1/14/2018
860712,IT213456,Beverages and Catering,146245 EUR,1/7/2018
363136,DE763212,Waste management services,344396 CAD,0000-00-00
217376,RO094782,Concierge Services,61750.8 CAD,1/7/2018
568313,RO345879,Beverages and Catering,316574 CAD,1/8/2018
619914,IT213456,Waste management services,97959.6 EUR,1/15/2018
195949,DE325476,Various paper supplies,173651 CAD,1/7/2018
527896,RO892123,Various paper supplies,107694 CAD,1/17/2018
122397,RO345879,Concierge Services,100699 EUR,0000-00-00
670770,RO345879,Professional Services,348875 RON,1/28/2018
523366,FR065748,Concierge Services,307862 CAD,1/16/2018
930081,RO345879,Various paper supplies,257666 USD,1/16/2018
189647,FR121212,Various paper supplies,68877.6 RON,1/16/2018
935990,IT213456,Various paper supplies,68421.6 RON,1/15/2018
463870,IT145632,Waste management services,280726 USD,1/23/2018
342224,RO345879,Professional Services,1021.2 EUR,1/2/2018
178778,RO094782,Various paper supplies,293020 RON,2/17/2018
356969,RO345879,Beverages and Catering,255326 EUR,2/11/2018
516026,RO254678,Various paper supplies,140510 USD,0000-00-00
581351,IT754893,Professional Services,136384 RON,2/21/2018
197966,FR121212,IT Support,172158 EUR,2/15/2018
616732,DE325476,Waste management services,114926 USD,2/6/2018
745909,DE763212,Professional Services,175506 USD,2/19/2018
766586,RO892123,Beverages and Catering,235252 CAD,2/6/2018
320333,RO892123,Beverages and Catering,359168 EUR,2/14/2018
724328,RO874231,Professional Services,177518 EUR,2/22/2018
136706,FR329083,Various paper supplies,183908 CAD,2/19/2018
611061,FR453231,Beverages and Catering,223163 EUR,2/5/2018
718167,FR453231,Waste management services,322382 RON,2/1/2018
776770,FR065748,IT Support,216877 CAD,2/23/2018
884381,FR065748,Waste management services,21831.6 EUR,2/17/2018
333632,DE763212,IT Support,226792 CAD,2/10/2018
242292,FR329083,IT Support,62258.4 RON,2/9/2018
117731,DE325476,Professional Services,345120 EUR,2/9/2018
480040,FR453231,Concierge Services,263042 RON,3/28/2018
342988,IT754893,Waste management services,44391.6 RON,0000-00-00
895269,DE763212,Concierge Services,54058.8 EUR,3/11/2018
940042,IT754893,Beverages and Catering,296195 CAD,3/6/2018
646865,FR453231,Various paper supplies,313973 USD,3/28/2018
200572,FR065748,Concierge Services,335328 USD,0000-00-00
248631,FR121212,Beverages and Catering,14502 RON,3/3/2018
942937,RO345879,Waste management services,255059 CAD,0000-00-00
419366,RO254678,Waste management services,289748 RON,3/25/2018
206485,DE325476,Concierge Services,162865 EUR,3/2/2018
490343,RO345879,Waste management services,355427 RON,3/17/2018
324811,IT213456,Various paper supplies,277438 CAD,3/8/2018
638771,FR453231,Concierge Services,70832.4 EUR,3/6/2018
930873,DE325476,Concierge Services,356041 EUR,3/7/2018
873798,IT213456,Concierge Services,103074 CAD,3/14/2018
609590,FR329083,Concierge Services,135692 RON,3/20/2018
288802,FR065748,Professional Services,114626 USD,3/11/2018
174340,DE987564,Concierge Services,246935 RON,3/17/2018
171114,FR329083,IT Support,298549 CAD,3/15/2018
836513,FR329083,Beverages and Catering,92400 EUR,4/24/2018
239675,RO254678,IT Support,338483 RON,4/4/2018
171554,RO254678,Waste management services,251996 USD,4/2/2018
